2024-08-14 21:10:06,766 INFO    MainThread:91240 [wandb_setup.py:_flush():76] Current SDK version is 0.17.6
2024-08-14 21:10:06,767 INFO    MainThread:91240 [wandb_setup.py:_flush():76] Configure stats pid to 91240
2024-08-14 21:10:06,767 INFO    MainThread:91240 [wandb_setup.py:_flush():76] Loading settings from /home/aaderevyagin/.config/wandb/settings
2024-08-14 21:10:06,767 INFO    MainThread:91240 [wandb_setup.py:_flush():76] Loading settings from /home/aaderevyagin/airi_final/airi-screening-part-1/wandb/settings
2024-08-14 21:10:06,767 INFO    MainThread:91240 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-08-14 21:10:06,767 INFO    MainThread:91240 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-08-14 21:10:06,767 INFO    MainThread:91240 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'scripts/compare_arena.py', 'program_abspath': '/home/aaderevyagin/airi_final/airi-screening-part-1/scripts/compare_arena.py', 'program': '/home/aaderevyagin/airi_final/airi-screening-part-1/./scripts/compare_arena.py'}
2024-08-14 21:10:06,767 INFO    MainThread:91240 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-08-14 21:10:06,767 INFO    MainThread:91240 [wandb_init.py:_log_setup():521] Logging user logs to /home/aaderevyagin/airi_final/airi-screening-part-1/wandb/run-20240814_211006-ad2a4f08-40f9-408a-aad5-f4ae46899eda/logs/debug.log
2024-08-14 21:10:06,767 INFO    MainThread:91240 [wandb_init.py:_log_setup():522] Logging internal logs to /home/aaderevyagin/airi_final/airi-screening-part-1/wandb/run-20240814_211006-ad2a4f08-40f9-408a-aad5-f4ae46899eda/logs/debug-internal.log
2024-08-14 21:10:06,767 INFO    MainThread:91240 [wandb_init.py:init():559] calling init triggers
2024-08-14 21:10:06,767 INFO    MainThread:91240 [wandb_init.py:init():566] wandb.init called with sweep_config: {}
config: {'project': 'Final-mb-run-bandits-uniform-v3', 'group': 'Test-Group', 'name': 'Algorithm-Distillation-GPT-7716d52b.pt', 'baseline': 'UCB', 'baseline_checkpoint': None, 'checkpoints_dir': './checkpoints/bandits', 'test_tasks_filename': './data/bandits/test_tasks_uniform.hdf5', 'episode_size': 100, 'num_episodes': 10, 'discount': 0.99, 'eval_seed': 32, 'num_eval_seeds': 10, 'device': 'cuda'}
2024-08-14 21:10:06,767 INFO    MainThread:91240 [wandb_init.py:init():609] starting backend
2024-08-14 21:10:06,767 INFO    MainThread:91240 [wandb_init.py:init():613] setting up manager
2024-08-14 21:10:06,768 INFO    MainThread:91240 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-08-14 21:10:06,768 INFO    MainThread:91240 [wandb_init.py:init():621] backend started and connected
2024-08-14 21:10:06,769 INFO    MainThread:91240 [wandb_init.py:init():716] updated telemetry
2024-08-14 21:10:06,773 INFO    MainThread:91240 [wandb_init.py:init():749] communicating run to backend with 90.0 second timeout
2024-08-14 21:10:08,201 INFO    MainThread:91240 [wandb_run.py:_on_init():2438] communicating current version
2024-08-14 21:10:09,172 INFO    MainThread:91240 [wandb_run.py:_on_init():2447] got version response 
2024-08-14 21:10:09,172 INFO    MainThread:91240 [wandb_init.py:init():800] starting run threads in backend
2024-08-14 21:10:09,231 INFO    MainThread:91240 [wandb_run.py:_console_start():2416] atexit reg
2024-08-14 21:10:09,231 INFO    MainThread:91240 [wandb_run.py:_redirect():2258] redirect: wrap_raw
2024-08-14 21:10:09,231 INFO    MainThread:91240 [wandb_run.py:_redirect():2323] Wrapping output streams.
2024-08-14 21:10:09,231 INFO    MainThread:91240 [wandb_run.py:_redirect():2348] Redirects installed.
2024-08-14 21:10:09,231 INFO    MainThread:91240 [wandb_init.py:init():843] run started, returning control to user process
2024-08-14 21:11:45,065 INFO    MainThread:91240 [wandb_run.py:_finish():2110] finishing run komershan/Final-mb-run-bandits-uniform-v3/ad2a4f08-40f9-408a-aad5-f4ae46899eda
2024-08-14 21:11:45,066 INFO    MainThread:91240 [wandb_run.py:_atexit_cleanup():2377] got exitcode: 0
2024-08-14 21:11:45,066 INFO    MainThread:91240 [wandb_run.py:_restore():2355] restore
2024-08-14 21:11:45,066 INFO    MainThread:91240 [wandb_run.py:_restore():2361] restore done
2024-08-14 21:11:49,452 INFO    MainThread:91240 [wandb_run.py:_footer_history_summary_info():4035] rendering history
2024-08-14 21:11:49,452 INFO    MainThread:91240 [wandb_run.py:_footer_history_summary_info():4067] rendering summary
2024-08-14 21:11:49,455 INFO    MainThread:91240 [wandb_run.py:_footer_sync_info():3994] logging synced files
